"Site name","Address","Phone","Program Name","Length of Day"
" Marcy-Newberry Marcy Center","1539 S. Springfield ",7622300,"Community Partnerships","8-11 Hours, varies by facility"
" Mary Crane Morse","1545 W. Morse ",2621390,"Community Partnerships","8-11 Hours, varies by facility"
" Early Child Care Services,Inc.","160 N. LaSalle N. 201 ",8144782,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Commons-Taylor Center For New Experiences","1633 N. Hamlin ",2278551,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Commons Paulo Freire","1653 W. 43rd Street ",8266260,"Community Partnerships","8-11 Hours, varies by facility"
" Children?s Home & Aid Englewood","1701 W. 63rd St. ",,"Community Partnerships","8-11 Hours, varies by facility"
" Erie Neighborhood House","1701 W. Superior ",5635800,"Community Partnerships","8-11 Hours, varies by facility"
" El Hogar del Ni?o New Loomis","1710-1718 S. Loomis ",5630662,"Community Partnerships","8-11 Hours, varies by facility"
" Kiddy Kare Preschools Little Tykes I","1711 W. 35th Street ",2547710,"Community Partnerships","8-11 Hours, varies by facility"
" El Hogar del Ni?o Loomis Preschool","1718 S. Loomis ",5630662,"Community Partnerships","8-11 Hours, varies by facility"
" Kiddy Kare Preschools Little Tykes II","1723 W. 35th Street ",5791791,"Community Partnerships","8-11 Hours, varies by facility"
" Lutheran Social Services Rogers Park","1754 W. Devon ",2623366,"Community Partnerships","8-11 Hours, varies by facility"
" Children?s Place Family Center","1800 N. Humboldt Blvd. ",,"Community Partnerships","8-11 Hours, varies by facility"
" Lutheran Day Nursery","1802 N. Fairfield ",4864222,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Commons Guadalupano","1814 S. Paulina ",6663883,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago International Charter Basil Campus","1816 W. Garfield Blvd. ",8630652,"Community Partnerships","8-11 Hours, varies by facility"
" YMCA McCormick Tribune Preschool","1834 N. Lawndale ",2352525,"Community Partnerships","8-11 Hours, varies by facility"
" Wee Care Nursery School & Kindergarten","1845 E. 79th St. ",2214442,"Community Partnerships","8-11 Hours, varies by facility"
" City Colleges Malcolm X CDC","1900 W. Van Buren ",8507176,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Pius V","1919 S. Ashland ",2261590,"Community Partnerships","8-11 Hours, varies by facility"
" UIC Children?s Center II - West","1919 W. Taylor (m/c 525) Rm. 128 ",4135326,"Community Partnerships","8-11 Hours, varies by facility"
" Terry Town Vireva Nursery School","1935 W. 51st St. ",9258417,"Community Partnerships","8-11 Hours, varies by facility"
" El Valor Corporation-Guadalupe Reyes Children and Family Center","1951 W. 19th St. ",9972021,"Community Partnerships","8-11 Hours, varies by facility"
" New Zion Child Care Academy","1960 W. 13th St. ",7331263,"Community Partnerships","8-11 Hours, varies by facility"
" Loop Learning Center","2001 S. Michigan Ave. ",2258828,"Community Partnerships","8-11 Hours, varies by facility"
" North Avenue Day Nursery","2001 W. Pierce ",3424499,"Community Partnerships","8-11 Hours, varies by facility"
" Carole Robertson Center Roosevelt","2020 W. Roosevelt ",2434881,"Community Partnerships","8-11 Hours, varies by facility"
" Dorsey Developmental Institute I","2050 E. 93rd Street ",3754300,"Community Partnerships","8-11 Hours, varies by facility"
" Loren Children's Learning Center, Inc.","2106 E. 79th St. ",3569400,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Paul/ Our Lady of Vilna","2114 W. 22nd Pl. ",8476078,"Community Partnerships","8-11 Hours, varies by facility"
" Marillac House","212 S. Francisco ",7227440,"Community Partnerships","8-11 Hours, varies by facility"
" Chinese American Service League","2141 S. Tan Ct. ",7910454,"Community Partnerships","8-11 Hours, varies by facility"
" A Child's World Early Learning Center","2145 E. 83rd St. ",9786598,"Community Partnerships","8-11 Hours, varies by facility"
" St. Vincent DePaul Child Development","2145 N. Halsted ",,"Community Partnerships","8-11 Hours, varies by facility"
" Laurance Armour School","2150 W. Harrison St. ",9426501,"Community Partnerships","8-11 Hours, varies by facility"
" Precious Little One's Learning Center, Inc.","221 E. 51st St. ",2859902,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Ann","2211 W. 18th Pl. ",8294153,"Community Partnerships","8-11 Hours, varies by facility"
" Casa Central - Casa Infantil Child Development Program","2222 N. Kedzie Ave. ",7721170,"Community Partnerships","8-11 Hours, varies by facility"
" Ahadi Early Learning Center","2257 E. 71st St. ",2517086,"Community Partnerships","8-11 Hours, varies by facility"
" Love Learning Center","228 E. 61st Street ",7520243,"Community Partnerships","8-11 Hours, varies by facility"
" El Hogar Del Nino California","2325 S. California ",,"Community Partnerships","8-11 Hours, varies by facility"
" Henry Booth House - Gentry","2326 S. Dearborn ",8428557,"Community Partnerships","8-11 Hours, varies by facility"
" Kenyatta?s Day Care Center","2334 E. 75th Street ",2213777,"Community Partnerships","8-11 Hours, varies by facility"
" Ada S. McKinley Trumball Park","2400 E. 105th St ",9785341,"Community Partnerships","8-11 Hours, varies by facility"
" Henry Booth House Hilliard at Quinn Chapel","2401 S. Wabash ",7919710,"Community Partnerships","8-11 Hours, varies by facility"
" YMCA High Ridge","2424 W. Touhy ",2628300,"Community Partnerships","8-11 Hours, varies by facility"
" El Valor Corporation-Carlos Cantu Children and Family Centers","2434 S. Kildare ",7219311,"Community Partnerships","8-11 Hours, varies by facility"
" Wee Wee Center for Creative Learning, Inc.","2434 W. 71st St. ",4710869,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - Our Lady of Grace","2446 N. Ridgeway Ave. ",3420170,"Community Partnerships","8-11 Hours, varies by facility"
" Mother?s Touch I","2501 W. 71st Street ",4363177,"Community Partnerships","8-11 Hours, varies by facility"
" Christopher House Greenview","2507 N. Greenview ",4721083,"Community Partnerships","8-11 Hours, varies by facility"
" Children?s Home & Aid Society Viva","2516 W. Division ",2526313,"Community Partnerships","8-11 Hours, varies by facility"
" Christopher House Logan Square","2610 N. Francisco ",2354073,"Community Partnerships","8-11 Hours, varies by facility"
" St. Augustine College Nayarit","2610 W. 25th Pl. ",8783653,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Agnes of Bohemia","2643 S. Central Park Ave. ",5220143,"Community Partnerships","8-11 Hours, varies by facility"
" Teddy Bear Nursery School, Inc. I","2649 W. 51st Street ",4760700,"Community Partnerships","8-11 Hours, varies by facility"
" Gads Hill Child Care Center","2653 W. Ogden ",5211196,"Community Partnerships","8-11 Hours, varies by facility"
" Little Kids Village Learning","2656 W. 71st St. ",7764753,"Community Partnerships","8-11 Hours, varies by facility"
" YMCA Rauner Family","2700 S. Western Ave. ",5060130,"Community Partnerships","8-11 Hours, varies by facility"
" Keeper?s Institute Infant/Child Care","2718 W. 59th St. ",4348835,"Community Partnerships","8-11 Hours, varies by facility"
" Mary Crane West","2820 N. Leavitt ",3485528,"Community Partnerships","8-11 Hours, varies by facility"
" Henry Booth House - Near South","2929 S. Wabash ",7910424,"Community Partnerships","8-11 Hours, varies by facility"
" Carole Robertson Center for Learning","2929 W. 19th St. ",5211600,"Community Partnerships","8-11 Hours, varies by facility"
" Dorsey Developmental Institute III","2938 E. 91st Street ",9330053,"Community Partnerships","8-11 Hours, varies by facility"
" Boys & Girls Clubs General R. E. Wood","2950 W. 25th Street ",8475172,"Community Partnerships","8-11 Hours, varies by facility"
" Mary Crane Center East","2974 N. Clybourn ",3485528,"Community Partnerships","8-11 Hours, varies by facility"
" Little Leaders of Tomorrow Daycare","301 N. Mayfield ",3788302,"Community Partnerships","8-11 Hours, varies by facility"
" Shinning Star Child Development Institute","3012-16 E. 92nd St. ",9787827,"Community Partnerships","8-11 Hours, varies by facility"
" Irving Park Early Learning Center","3023 W. Montrose ",5397422,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Sylvester","3027 W. Palmer St. ",7725222,"Community Partnerships","8-11 Hours, varies by facility"
" A-Karrasel - Avondale","3030 N. Kedzie ",4636151,"Community Partnerships","8-11 Hours, varies by facility"
" Young Scholars Developmental Institute","3038 W. 59th St. ",9181944,"Community Partnerships","8-11 Hours, varies by facility"
" YMCA South Chicago","3039 E. 91st Street ",7219100,"Community Partnerships","8-11 Hours, varies by facility"
" El Valor Corporation-Ray Gonzalez Children and Family Center","3050 E. 92nd St. ",7219311,"Community Partnerships","8-11 Hours, varies by facility"
" Kids Hope United Bridgeport CDC","3053 S. Normal ",8425566,"Community Partnerships","8-11 Hours, varies by facility"
" Kove Learning Academy","3137 W. 71st Street ",4763083,"Community Partnerships","8-11 Hours, varies by facility"
" Locke Charter School","3141 W. Jackson ",2657232,"Community Partnerships","8-11 Hours, varies by facility"
" Bethel New Life Bethel Child Development","316 N. Pulaski ",2653830,"Community Partnerships","8-11 Hours, varies by facility"
" Metropolitan Family Services","3215 W. 63rd Street ",8842350,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Youth Centers Centro Nuestro Division","3222 W. Division ",4893157,"Community Partnerships","8-11 Hours, varies by facility"
" Concordia Child Care Center Avondale","3300 N. Whipple ",4631600,"Community Partnerships","8-11 Hours, varies by facility"
" Albany Park Community Center","3401 W. Ainslie ",5395907,"Community Partnerships","8-11 Hours, varies by facility"
" St. Augustine College - Flamboyan","3401 W. McLean St. ",2763423,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Youth Centers - ABC","3415 W. 13th Pl ",7625655,"Community Partnerships","8-11 Hours, varies by facility"
" Pathways to Learning","3416 ? -18 W. 79th Street ",4369244,"Community Partnerships","8-11 Hours, varies by facility"
" A-Karrasel ? Logan Square","3420 W. Fullerton ",7724333,"Community Partnerships","8-11 Hours, varies by facility"
" Rachel's Learning Center - North Lawndale","3430 W. Roosevelt Rd. ",5331834,"Community Partnerships","8-11 Hours, varies by facility"
" YMCA North Lawndale","3449 W. Arthington ",6380773,"Community Partnerships","8-11 Hours, varies by facility"
" Pathways to Learning I/T","3450-54 W. 79th St ",4369244,"Community Partnerships","8-11 Hours, varies by facility"
" Teddy Bear Nursery School, Inc. II","3473 W. Columbus ",2842141,"Community Partnerships","8-11 Hours, varies by facility"
" Kids Count Too Daycare, Preschool and Kindergarten - Washington Heights","360-364 E. 61st ",7523022,"Community Partnerships","8-11 Hours, varies by facility"
" Lava Inc. - Chatterbox Preschool","3613 West Devon ",4782434,"Community Partnerships","8-11 Hours, varies by facility"
" Easter Seals Near South","3630 S. Wells Rm. 105 ",5483614,"Community Partnerships","8-11 Hours, varies by facility"
" Center for New Horizons Ida B. Wells","3641 S. Rhodes ",3733640,"Community Partnerships","8-11 Hours, varies by facility"
" Firman Pre-School West","37 W. 47th Street ",3733400,"Community Partnerships","8-11 Hours, varies by facility"
" Carole Robertson Center Jubilee","3701 W. Ogden ",5228400,"Community Partnerships","8-11 Hours, varies by facility"
" Ada S. McKinley St. Thomas CDC","3801 S. Wabash ",2850617,"Community Partnerships","8-11 Hours, varies by facility"
" Concordia Child Care Center","3855 N. Seeley ",9353739,"Community Partnerships","8-11 Hours, varies by facility"
" Little Giant Child Care Center","3863 W. Harrison ",2656330,"Community Partnerships","8-11 Hours, varies by facility"
" Kidwatch Plus, Inc.","3901 N. Ridgeway ",5395431,"Community Partnerships","8-11 Hours, varies by facility"
" Centers for New Horizons Edison L. Hoard","3901 S. State Street ",5362187,"Community Partnerships","8-11 Hours, varies by facility"
" It Takes a Village Child Care Services","4000 W. Division ",2761730,"Community Partnerships","8-11 Hours, varies by facility"
" Happy Holiday Nursery & Kindergarten","401 E. 111th Street ",8217009,"Community Partnerships","8-11 Hours, varies by facility"
" Frazier Preparatory Academy","4027 W. Grenshaw ",5358653,"Community Partnerships","8-11 Hours, varies by facility"
" Northwest Institute","4040 W. Division ",9212800,"Community Partnerships","8-11 Hours, varies by facility"
" Caring Hands A Step Ahead","4208-20 N. Broadway ",4048664,"Community Partnerships","8-11 Hours, varies by facility"
" Abraham Lincoln Center Near South","4210 S. Berkley ",4513360,"Community Partnerships","8-11 Hours, varies by facility"
" Legacy Charter School (at Mason School)","4217 W. 18th St. ",5421640,"Community Partnerships","8-11 Hours, varies by facility"
" Legacy Charter School (at Mason School)","4217 W. 18th St. ",5421640,"Community Partnerships","8-11 Hours, varies by facility"
" Salvation Army New Hope","4255 W. Division ",7724908,"Community Partnerships","8-11 Hours, varies by facility"
" Korean American Community Services","4300 N. California ",5838281,"Community Partnerships","8-11 Hours, varies by facility"
" Centers for New Horizons Effie O. Ellis","4301 S. Cottage Grove ",5489839,"Community Partnerships","8-11 Hours, varies by facility"
" Ada S. McKinley Maggie Drummond","4301 S. Wabash ",3738200,"Community Partnerships","8-11 Hours, varies by facility"
" Abraham Lincoln Center - King","4314 S. Cottage Grove ",7472310,"Community Partnerships","8-11 Hours, varies by facility"
" Golden Gate Day Care Center","432 E. 134th Street ",9287085,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - Pope John Paul II","4325 S. Richmond Ave. ",5236161,"Community Partnerships","8-11 Hours, varies by facility"
" Jones Academy, Inc.","4344 S. Wentworth ",3077507,"Community Partnerships","8-11 Hours, varies by facility"
" Fairyland Nursery School, Inc.","4350 N. Milwaukee ",7251246,"Community Partnerships","8-11 Hours, varies by facility"
" Hull House Assn. LeClaire Hearst Ryder","4410 S. LaPorte ",7670925,"Community Partnerships","8-11 Hours, varies by facility"
" Kiddy Kare Preschools Kiddy Kare I","4444 S. Kedzie ",2476642,"Community Partnerships","8-11 Hours, varies by facility"
" Hull House Association Uptown Center","4520 N. Beacon ",5613500,"Community Partnerships","8-11 Hours, varies by facility"
" St. Paul Church of God in Christ-Chaney Ford Child Care Center","4526 S. Wabash ",2858721,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Youth Centers Roseland","461 E. 111th Street ",4684405,"Community Partnerships","8-11 Hours, varies by facility"
" Home of Life Just for You","4647 W. Washington ",6268655,"Community Partnerships","8-11 Hours, varies by facility"
" Home of Life II","4650 W. Madison ",6268655,"Community Partnerships","8-11 Hours, varies by facility"
" Christopher House Uptown","4701 N. Winthrop ",7694540,"Community Partnerships","8-11 Hours, varies by facility"
" Creative Mansion Children?s Academy","4745 S. Ellis ",2686066,"Community Partnerships","8-11 Hours, varies by facility"
" First Start Child Care Academy","4753-59 W. Washington ",3794928,"Community Partnerships","8-11 Hours, varies by facility"
" Hull House Association Lincoln Square","4754 N. Leavitt ",8789651,"Community Partnerships","8-11 Hours, varies by facility"
" Catholic Charities - St. Joseph","4800 S. Paulina ",9272524,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Thomas of Canterbury","4827 N. Kenmore ",2810018,"Community Partnerships","8-11 Hours, varies by facility"
" Lutheran Social Services Winthrop","4848 N. Winthrop ",8783210,"Community Partnerships","8-11 Hours, varies by facility"
" Ravenswood Community Child Care","4908 N. Damen ",2714495,"Community Partnerships","8-11 Hours, varies by facility"
" Firman Pre-School East","4910 S. DR MARTIN LUTHER KING JRDrive ",3732083,"Community Partnerships","8-11 Hours, varies by facility"
" Hull House Assn. Parkway","500 E. 67th Street ",4931306,"Community Partnerships","8-11 Hours, varies by facility"
" Salvation Army Columbus Park","500 S. Central ",9214162,"Community Partnerships","8-11 Hours, varies by facility"
" Children?s House - Lake Meadows","501 East 32nd Street ",2252223,"Community Partnerships","8-11 Hours, varies by facility"
" Ounce of Prevention Fund Educare","5044 S. Wabash ",9242334,"Community Partnerships","8-11 Hours, varies by facility"
" South East Asia Center Broadway","5120 N. Broadway ",9890960,"Community Partnerships","8-11 Hours, varies by facility"
" All About Kids Learning Academy, Inc.","514 E. 75th St. ",2555530,"Community Partnerships","8-11 Hours, varies by facility"
" Kids Hope United - CDC","5144 N. Lakewood ",3245612,"Community Partnerships","8-11 Hours, varies by facility"
" North Kenwood Day Care Center","516-18 E. 43rd St ",2682223,"Community Partnerships","8-11 Hours, varies by facility"
" Teddy Bear Nursery School, Inc. V","5160 S. Pulaski ",2847030,"Community Partnerships","8-11 Hours, varies by facility"
" Whiz Kids Nursery Center, Inc.","518 W. 103rd St. ",2339445,"Community Partnerships","8-11 Hours, varies by facility"
" Young Achievers","520 E. 79th ",2639688,"Community Partnerships","8-11 Hours, varies by facility"
" Rachel's Learning Center - Austin","5242 W. North Ave. ",2371444,"Community Partnerships","8-11 Hours, varies by facility"
" Trinity United Church of Christ","532 W. 95th Street ",4883511,"Community Partnerships","8-11 Hours, varies by facility"
" Catholic Charities Grace Mission","5332 S. Western ",4761990,"Community Partnerships","8-11 Hours, varies by facility"
" Mosaic Early Childhood Academy","5332 W. Addison ",7777411,"Community Partnerships","8-11 Hours, varies by facility"
" Firman Preschool South","5401 S. Wentworth ",4513400,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - Holy Angels School","545 E. Oakwood Blvd. ",6240727,"Community Partnerships","8-11 Hours, varies by facility"
" Bunnyland Developmental Childcare","545 W. 119th Street ",5685200,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Child Care Society","5467 S. University ",2562450,"Community Partnerships","8-11 Hours, varies by facility"
" Northeastern Illinois University","5500 N. St. Louis ",4424540,"Community Partnerships","8-11 Hours, varies by facility"
" A-Karrasel ? Galewood Center","5504 W. Fullerton ",6371022,"Community Partnerships","8-11 Hours, varies by facility"
" Allison's Infant and Toddler Center","5522 S. Racine ",4363193,"Community Partnerships","8-11 Hours, varies by facility"
" Marcy-Newberry Austin Town Hall","5610 W. Lake St. ",2611062,"Community Partnerships","8-11 Hours, varies by facility"
" Lake Shore Schools - Clark","5611 N. Clark Street ",5616707,"Community Partnerships","8-11 Hours, varies by facility"
" Kiddy Kare Preschools Little Learners","5923 W. 63rd St. ",5815541,"Community Partnerships","8-11 Hours, varies by facility"
" Improved Child Care Albany Child Care","5954 S. Albany ",7377810,"Community Partnerships","8-11 Hours, varies by facility"
" Onward Neighborhood House","600 N. Leavitt ",6666726,"Community Partnerships","8-11 Hours, varies by facility"
" Easter Seals Windy City Kids","600 W. Madison ",5756550,"Community Partnerships","8-11 Hours, varies by facility"
" Learning Center of Heartland Human Care Services","615 W. Wellington Ave. ",7511870,"Community Partnerships","8-11 Hours, varies by facility"
" Center for New Horizons Washington Park","6225 S. Wabash ",6672065,"Community Partnerships","8-11 Hours, varies by facility"
" Boys & Girls Clubs John L. Yancey","6245 S. Wabash ",3634733,"Community Partnerships","8-11 Hours, varies by facility"
" Kiddy Kare Preschools Kidz Colony","6287 S. Archer ",7678522,"Community Partnerships","8-11 Hours, varies by facility"
" YMCA South Side","6330 S. Stony Island ",9470700,"Community Partnerships","8-11 Hours, varies by facility"
" Teddy Bear Nursery School, Inc. III","6401 S. Pulaski ",2842292,"Community Partnerships","8-11 Hours, varies by facility"
" New Hope Lutheran School","6416 S. Washtenaw ",7769849,"Community Partnerships","8-11 Hours, varies by facility"
" Metropolitan Family Services Midway","6422 S. Kedzie ",7374790,"Community Partnerships","8-11 Hours, varies by facility"
" Granny's Daycare Center","645 W. 127th St. ",8485827,"Community Partnerships","8-11 Hours, varies by facility"
" Mt. Ararat Day Care","6514-16 W. Higgins Ave. ",5939763,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - Academy of St. Benedict the African (Stewart)","6547 S. Stewart Ave. ",9946100,"Community Partnerships","8-11 Hours, varies by facility"
" Little Angels Family Daycare","6701 S. Emerald ",3703688,"Community Partnerships","8-11 Hours, varies by facility"
" Lake Shore Schools - Greenview","6759 N. Greenview ",7431118,"Community Partnerships","8-11 Hours, varies by facility"
" Trinity United Church of Christ Denton Brooks","6921 S. Stony Island ",9552818,"Community Partnerships","8-11 Hours, varies by facility"
" Fresh Start Daycare, Inc.","6924 W. North Avenue ",4792870,"Community Partnerships","8-11 Hours, varies by facility"
" Eyes on the Future","6969 N. Ravenswood ",9730771,"Community Partnerships","8-11 Hours, varies by facility"
" Abraham Lincoln Centre Roseland","7 E. 119th St. ",2647633,"Community Partnerships","8-11 Hours, varies by facility"
" YMCA Garfield","7 N. Homan Avenue ",2653900,"Community Partnerships","8-11 Hours, varies by facility"
" Children?s Developmental Institute SS","7037 S. Stony Island ",3633200,"Community Partnerships","8-11 Hours, varies by facility"
" Christopher House Rogers Park","7059 N. Greenview ",2745477,"Community Partnerships","8-11 Hours, varies by facility"
" Abraham Lincoln Center Donoghue","707 E. 37th St. ",7295325,"Community Partnerships","8-11 Hours, varies by facility"
" City Colleges Kennedy King CDC","710 W. 65th St ",6025447,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Columbanus School","7120 S. Calumet Ave. ",2243811,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - Queen of the Universe","7130 S. Hamlin ",5824266,"Community Partnerships","8-11 Hours, varies by facility"
" Little Hands Child Creative Center","7146-48 S. Ashland Ave. ",4710662,"Community Partnerships","8-11 Hours, varies by facility"
" Ada S. McKinley Ersula Howard","7222 S. Exchange ",2219711,"Community Partnerships","8-11 Hours, varies by facility"
" UIC Children?s Center I - East","728 W. Roosevelt (m/c 050) Rm. 287 ",4135331,"Community Partnerships","8-11 Hours, varies by facility"
" Itsy Bitsy People Palace, Inc.","7419 S. Cottage Grove ",8467396,"Community Partnerships","8-11 Hours, varies by facility"
" Little People Day Care & Kindergarten","7428 N. Rogers Ave. ",7612305,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Commons NIA","744 N. Monticello ",8264259,"Community Partnerships","8-11 Hours, varies by facility"
" City Colleges Daley Semester Program","7500 S. Pulaski ",8387562,"Community Partnerships","8-11 Hours, varies by facility"
" Howard Area Early Childhood Center","7510 N. Ashland ",7647610,"Community Partnerships","8-11 Hours, varies by facility"
" Jolly Fun House Playschool","7559 W. Addison ",6376115,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Youth Centers Rebecca K. Crown","7601 S. Phillips ",7310444,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Sabina Academy","7800 S. Throop St. ",4835000,"Community Partnerships","8-11 Hours, varies by facility"
" New Concept","7825 S. Ellis ",6519599,"Community Partnerships","8-11 Hours, varies by facility"
" Ada S. McKinley Wright Renaissance","7939 S. Western ",4768805,"Community Partnerships","8-11 Hours, varies by facility"
" Ezzard Charles School","7946 S. Ashland ",4870227,"Community Partnerships","8-11 Hours, varies by facility"
" Children?s Center for Creative Learning","7954-58 S. Western ",4714927,"Community Partnerships","8-11 Hours, varies by facility"
" Tiny Tot Villa","8128 S. DR MARTIN LUTHER KING JR Drive ",4836251,"Community Partnerships","8-11 Hours, varies by facility"
" NIA LTD. The Learning Tree","8128 S. Kedzie ",7788802,"Community Partnerships","8-11 Hours, varies by facility"
" New Pisgah Day Care Center","8128 S. Racine Ave. ",8735392,"Community Partnerships","8-11 Hours, varies by facility"
" Terry Town Nursery School, Inc.","817 N. Hamlin ",4894271,"Community Partnerships","8-11 Hours, varies by facility"
" Chipper Preschool","8225-29 S. Kedzie ",7785757,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Michael","8231 S. Shore Drive ",2210212,"Community Partnerships","8-11 Hours, varies by facility"
" Pinks Child Care Academy","8236 S. Kedzie ",8637465,"Community Partnerships","8-11 Hours, varies by facility"
" South Central Holistic PreK Program","8316 S. Ellis ",4830900,"Community Partnerships","8-11 Hours, varies by facility"
" South Harper Montessori School","8358 S. Stony Island ",7340303,"Community Partnerships","8-11 Hours, varies by facility"
" Bethune Educational Center","843 W. 103rd Street ",2336100,"Community Partnerships","8-11 Hours, varies by facility"
" Christopher House Lakeshore","850 W. Eastwood ",2719403,"Community Partnerships","8-11 Hours, varies by facility"
" Institute for Creative Learning","8515 S. Stony Island ",7686688,"Community Partnerships","8-11 Hours, varies by facility"
" Dorothy Sutton Branch Headstart and Daycare","8601 S. State St. ",7234445,"Community Partnerships","8-11 Hours, varies by facility"
" McCann?s Daycare Center","8612 S. Stony Island ",3757932,"Community Partnerships","8-11 Hours, varies by facility"
" Little Elite Academy","8748 S. Aberdeen ",4487990,"Community Partnerships","8-11 Hours, varies by facility"
" Tots Express Learning Center","8938-40 S. Cottage Grove ",7238687,"Community Partnerships","8-11 Hours, varies by facility"
" Children's Village Day Care and Kindergarten","9011 S. Cottage Grove ",8731700,"Community Partnerships","8-11 Hours, varies by facility"
" Chesterfield Tom Thumb Day Care 2","9214 S. Cottage Grove ",8743985,"Community Partnerships","8-11 Hours, varies by facility"
" Centers for New Horizons Altgeld Gardens I","941 E. 132nd Street ",4683055,"Community Partnerships","8-11 Hours, varies by facility"
" Salvation Army Red Shield","945 W. 69th St. ",3583224,"Community Partnerships","8-11 Hours, varies by facility"
" Woodlawn Early Childhood Development","950 E. 61st Street ",6673300,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago State University","9501 S. DR MARTIN LUTHER KING JR Drive ",9952556,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Youth Centers Dorothy Gautreaux","975 E. 132nd Street ",2911000,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Margaret of Scottland","9833 S. Throop St. ",2381088,"Community Partnerships","8-11 Hours, varies by facility"
" Carole Robertson Center For Learning - Maribella Rodriguez","1012 N Kedvale Ave ",,"Early Head Start","EXTENDED DAY"
" Hull House Association - Child Dev. Central Office- Hull House CDS-Homes","1030 W Van Buren St ",9068600,"Early Head Start","EXTENDED DAY"
" Hull House Association - Child Dev. Central Office- Hull House CDS-Homes","1030 W Van Buren St ",9068600,"Early Head Start","EXTENDED DAY"
" Marcy Newberry Association - FOSCO ABLA Center","1312 S Racine Ave ",7466024,"Early Head Start","EXTENDED DAY"
" Marcy Newberry Association - FOSCO ABLA Center","1312 S Racine Ave ",7466024,"Early Head Start","EXTENDED DAY"
" Chicago Commons Association - Taylor Center for New Experiences","1633 N Hamlin Ave ",2278551,"Early Head Start","EXTENDED DAY"
" Erie Neighborhood House - Erie Community Center","1701 W Superior St ",5635800,"Early Head Start","EXTENDED DAY"
" ChildServ - Pilsen","1711 W Garfield Blvd ",,"Early Head Start","EXTENDED DAY"
" North Avenue Day Nursery - North Avenue Day Nursery","2001 W Pierce Ave ",3424499,"Early Head Start","EXTENDED DAY"
" Carole Robertson Center For Learning - Delondia Robinson","2252 S Central Park Ave ",,"Early Head Start","EXTENDED DAY"
" El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California","2325 S California Ave ",5231629,"Early Head Start","EXTENDED DAY"
" El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California","2325 S California Ave ",5231629,"Early Head Start","EXTENDED DAY"
" YMCA of Metropolitan Chicago - Rauner","2700 S Western Ave ",8473115,"Early Head Start","EXTENDED DAY"
" YMCA of Metropolitan Chicago - Rauner","2700 S Western Ave ",8473115,"Early Head Start","EXTENDED DAY"
" Carole Robertson Center For Learning - Aurora Nunez","2701 W 18th St ",,"Early Head Start","EXTENDED DAY"
" Carole Robertson Center For Learning - Carole Robertson Center 2929","2929 W 19th St ",5211600,"Early Head Start","EXTENDED DAY"
" Carole Robertson Center For Learning - Carole Robertson Center 2929","2929 W 19th St ",5211600,"Early Head Start","EXTENDED DAY"
" Carole Robertson Center For Learning - Sharon James","311 N Waller Ave ",,"Early Head Start","EXTENDED DAY"
" ChildServ - FSS of Lawndale","3210 W Arthington St ",8677370,"Early Head Start","EXTENDED DAY"
" ChildServ - FSS of Lawndale","3210 W Arthington St ",8677370,"Early Head Start","EXTENDED DAY"
" YMCA of Metropolitan Chicago - YMCA - Marshall High School","3250 W Adams St ",2650022,"Early Head Start","EXTENDED DAY"
" YMCA of Metropolitan Chicago - North Lawndale YMCA","3449 W Arthington St ",6380773,"Early Head Start","EXTENDED DAY"
" YMCA of Metropolitan Chicago - North Lawndale YMCA","3449 W Arthington St ",6380773,"Early Head Start","EXTENDED DAY"
